연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2007,경상북도,영덕군,222,4287717,19,405884,359,2635388,10,543982
2007,경상북도,영양군,230,2614323,17,302965,363,3236228,5,63063
2007,경상북도,영주시,1800,3016347,66,335974,2370,4644908,2,611
2007,경상북도,영천시,1589,15733145,176,3002934,406,10717879,11,164850
2007,경상북도,예천군,5906,11254783,16,147121,2596,6890250,4,16160
2007,경상북도,울릉군,11,9300,0,0,1,500,0,0
2007,경상북도,울진군,168,741198,17,86217,1433,3845146,47,2493911
2007,경상북도,의성군,2004,9638077,46,1143800,569,10638905,5,49000
2007,경상북도,청도군,599,9076061,25,762810,1140,12576610,21,519396
2007,경상북도,청송군,762,2014351,4,13400,285,683659,23,35270
2007,경상북도,칠곡군,3378,4470343,153,2066408,989,506285,0,0
2007,경상북도,포항시,738,3946637,49,4321369,420,1977637,13,260585
2007,광주광역시,광산구,1189,2197933,59,562967,1160,650858,1,621
2007,광주광역시,남구,605,2096192,4,4185,142,1725022,1,1892
2007,광주광역시,동구,1312,2251267,0,0,33,202295,0,0
2007,광주광역시,북구,3058,4619119,94,181461,400,922559,0,0
2007,광주광역시,서구,912,4625083,22,907916,470,3722005,0,0
2007,대구광역시,남구,178,1271287,0,0,5,20421,0,0
2007,대구광역시,달서구,382,2011244,66,218487,14,115624,1,1145
2007,대구광역시,달성군,893,2817751,70,779109,439,2183555,0,0
2007,대구광역시,동구,617,2257257,53,106701,151,274408,9,3895
2007,대구광역시,북구,683,4684701,65,1467625,89,637965,2,51360
2007,대구광역시,서구,138,848343,31,149838,7,5430,2,18460
2007,대구광역시,수성구,328,3097135,9,11032,48,142202,0,0
2007,대구광역시,중구,220,1201965,1,23400,0,0,0,0
2007,대전광역시,대덕구,2543,1377414,86,336348,361,99242,0,0
2007,대전광역시,동구,4495,7444248,37,136494,910,4947289,1,30000
2007,대전광역시,서구,3429,9375369,1,5781,536,1340560,0,0
2007,대전광역시,유성구,3908,4150521,35,128950,1393,2503953,15,92980
2007,대전광역시,중구,3263,6873853,116,341451,228,599835,0,0
2007,부산광역시,강서구,177,309944,2,74752,81,240137,0,0
2007,부산광역시,금정구,1121,3921547,28,278068,47,185177,211,619514
2007,부산광역시,기장군,955,3135192,26,169748,446,2375182,5,51020
2007,부산광역시,남구,434,2026460,23,101423,13,41445,0,0
2007,부산광역시,동구,97,465980,1,365,1,913,0,0
2007,부산광역시,동래구,654,2519125,4,27915,4,24313,2,2414
2007,부산광역시,부산진구,683,3078133,11,20766,7,28713,0,0
2007,부산광역시,북구,491,1725363,0,0,3,2921,0,0
2007,부산광역시,사상구,306,1287037,33,146165,0,0,19,26960
2007,부산광역시,사하구,443,3190516,46,256245,2,1944,0,0
