,행정구역,,2023년03월_계_총인구수,2023년03월_계_연령구간인구수,2023년03월_계_0~9세,2023년03월_계_10~19세,2023년03월_계_20~29세,2023년03월_계_30~39세,2023년03월_계_40~49세,2023년03월_계_50~59세,2023년03월_계_60~69세,2023년03월_계_70~79세,2023년03월_계_80~89세,2023년03월_계_90~99세,2023년03월_계_100세 이상,2023년03월_남_총인구수,2023년03월_남_연령구간인구수,2023년03월_남_0~9세,2023년03월_남_10~19세,2023년03월_남_20~29세,2023년03월_남_30~39세,2023년03월_남_40~49세,2023년03월_남_50~59세,2023년03월_남_60~69세,2023년03월_남_70~79세,2023년03월_남_80~89세,2023년03월_남_90~99세,2023년03월_남_100세 이상,2023년03월_여_총인구수,2023년03월_여_연령구간인구수,2023년03월_여_0~9세,2023년03월_여_10~19세,2023년03월_여_20~29세,2023년03월_여_30~39세,2023년03월_여_40~49세,2023년03월_여_50~59세,2023년03월_여_60~69세,2023년03월_여_70~79세,2023년03월_여_80~89세,2023년03월_여_90~99세,2023년03월_여_100세 이상
18,강원도,횡성군,"46,621","46,621","1,965","3,478","3,346","3,084","4,775","8,215","11,595","5,927","3,680",538,18,"23,904","23,904","1,030","1,838","1,913","1,669","2,590","4,364","6,056","2,958","1,385",100,1,"22,717","22,717",935,"1,640","1,433","1,415","2,185","3,851","5,539","2,969","2,295",438,17
22,경기도,가평군,"61,969","61,969","2,847","4,399","5,802","5,364","7,537","10,806","13,412","7,151","4,076",556,19,"32,009","32,009","1,441","2,256","3,380","2,935","4,017","5,792","6,914","3,497","1,617",154,6,"29,960","29,960","1,406","2,143","2,422","2,429","3,520","5,014","6,498","3,654","2,459",402,13
23,경기도,고양시,"1,077,909","1,077,909","73,283","100,437","138,538","143,322","172,298","198,123","143,908","63,683","38,419","5,747",151,"526,169","526,169","37,292","51,204","70,322","71,514","84,045","96,374","72,026","27,858","13,974","1,520",40,"551,740","551,740","35,991","49,233","68,216","71,808","88,253","101,749","71,882","35,825","24,445","4,227",111
25,경기도,과천시,"78,654","78,654","7,411","7,578","9,614","11,689","12,056","12,990","10,223","4,347","2,317",421,8,"38,640","38,640","3,838","3,853","4,937","5,784","5,915","6,254","5,028","2,013",903,112,3,"40,014","40,014","3,573","3,725","4,677","5,905","6,141","6,736","5,195","2,334","1,414",309,5
26,경기도,광명시,"285,198","285,198","19,775","28,824","34,267","37,791","47,837","48,501","40,108","18,366","8,477","1,208",44,"140,204","140,204","10,085","14,776","17,658","19,381","23,445","24,153","19,064","8,389","2,980",262,11,"144,994","144,994","9,690","14,048","16,609","18,410","24,392","24,348","21,044","9,977","5,497",946,33
27,경기도,광주시,"390,949","390,949","31,122","34,901","42,803","53,450","68,817","66,968","56,010","24,863","10,561","1,395",59,"199,468","199,468","15,869","17,906","22,762","27,853","36,190","34,375","27,929","12,079","4,198",292,15,"191,481","191,481","15,253","16,995","20,041","25,597","32,627","32,593","28,081","12,784","6,363","1,103",44
28,경기도,구리시,"188,709","188,709","12,561","17,049","24,087","24,204","30,466","34,378","27,367","12,138","5,731",709,19,"93,443","93,443","6,501","8,757","12,293","12,286","15,299","16,809","13,616","5,494","2,197",186,5,"95,266","95,266","6,060","8,292","11,794","11,918","15,167","17,569","13,751","6,644","3,534",523,14
29,경기도,군포시,"265,252","265,252","16,765","24,588","34,741","36,797","40,758","46,934","38,711","15,909","8,617","1,382",50,"131,609","131,609","8,587","12,704","18,114","19,446","20,169","22,933","18,834","7,319","3,133",360,10,"133,643","133,643","8,178","11,884","16,627","17,351","20,589","24,001","19,877","8,590","5,484","1,022",40
30,경기도,김포시,"484,514","484,514","48,353","52,037","50,005","68,913","93,762","71,112","56,926","28,576","12,947","1,828",55,"242,029","242,029","24,765","26,463","25,562","33,769","48,185","36,390","27,952","13,430","5,046",451,16,"242,485","242,485","23,588","25,574","24,443","35,144","45,577","34,722","28,974","15,146","7,901","1,377",39
31,경기도,남양주시,"735,649","735,649","57,923","79,353","83,311","87,012","131,127","125,532","96,076","48,875","23,115","3,190",135,"365,298","365,298","29,783","40,765","43,242","43,286","65,167","63,746","47,187","22,323","9,031",742,26,"370,351","370,351","28,140","38,588","40,069","43,726","65,960","61,786","48,889","26,552","14,084","2,448",109
32,경기도,동두천시,"90,582","90,582","5,047","8,086","10,132","9,213","12,915","16,185","14,726","8,465","5,169",627,17,"45,205","45,205","2,606","4,088","5,460","4,888","6,626","8,547","7,322","3,627","1,873",164,4,"45,377","45,377","2,441","3,998","4,672","4,325","6,289","7,638","7,404","4,838","3,296",463,13
33,경기도,부천시,"787,813","787,813","47,775","65,863","102,850","108,273","121,109","140,297","124,634","50,670","22,809","3,406",127,"389,786","389,786","24,535","33,736","52,881","55,880","61,200","68,041","60,825","23,868","8,046",744,30,"398,027","398,027","23,240","32,127","49,969","52,393","59,909","72,256","63,809","26,802","14,763","2,662",97
34,경기도,성남시,"923,416","923,416","62,169","84,403","120,006","134,131","149,734","154,406","124,877","60,402","28,707","4,435",146,"457,196","457,196","31,651","43,159","61,616","68,684","73,989","77,139","61,003","27,572","11,237","1,108",38,"466,220","466,220","30,518","41,244","58,390","65,447","75,745","77,267","63,874","32,830","17,470","3,327",108
36,경기도,수원시,"1,192,225","1,192,225","85,445","114,804","178,882","180,722","197,745","199,356","140,899","60,563","29,410","4,267",132,"600,239","600,239","44,101","59,236","93,512","95,512","99,685","99,178","69,913","27,344","10,722","1,009",27,"591,986","591,986","41,344","55,568","85,370","85,210","98,060","100,178","70,986","33,219","18,688","3,258",105
38,경기도,시흥시,"517,336","517,336","45,312","51,650","66,030","76,250","93,615","90,937","59,537","21,590","10,768","1,594",53,"270,176","270,176","22,965","26,495","35,933","40,954","50,603","47,533","31,605","10,073","3,688",318,9,"247,160","247,160","22,347","25,155","30,097","35,296","43,012","43,404","27,932","11,517","7,080","1,276",44
39,경기도,안산시,"638,264","638,264","37,399","58,023","98,050","83,303","98,029","125,823","86,671","31,809","16,551","2,526",80,"327,172","327,172","19,107","29,847","52,223","45,577","50,872","63,362","45,384","14,608","5,621",556,15,"311,092","311,092","18,292","28,176","45,827","37,726","47,157","62,461","41,287","17,201","10,930","1,970",65
41,경기도,안성시,"188,574","188,574","11,880","17,437","22,351","21,787","29,577","32,194","29,012","14,718","8,314","1,265",39,"97,561","97,561","6,195","9,022","12,348","12,094","15,864","17,050","14,748","6,951","3,005",276,8,"91,013","91,013","5,685","8,415","10,003","9,693","13,713","15,144","14,264","7,767","5,309",989,31
42,경기도,안양시,"547,320","547,320","36,546","49,525","70,572","78,637","84,076","94,944","80,050","34,192","16,225","2,495",58,"270,396","270,396","18,653","25,580","36,614","40,464","41,686","46,094","38,897","15,940","5,881",577,10,"276,924","276,924","17,893","23,945","33,958","38,173","42,390","48,850","41,153","18,252","10,344","1,918",48
